mrc_table6
par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
2,3,Highly selective public,6900,59300,0.6343145286482920,0.038036808,0.13865031,0.22453988,0.39141104,0.22822085,0.13006136,0.11656442,0.13374233,0.12269939,0.45521471,46500,51900,815,393548,0.0020709038
2,4,Highly selective private,7000,58900,0.6403442689648300,0.036437247,0.1417004,0.25910932,0.42105263,0.21052632,0.1417004,0.080971666,0.14574899,0.12550607,0.50607288,47400,52400,247,134098,0.0018419365
2,5,Selective public,6900,37600,0.5451980327608640,0.005873261,0.047295209,0.10386398,0.22055641,0.23987636,0.21885626,0.18315302,0.13755795,0.12488408,0.41174653,32500,37000,6470,1944082,0.0033280489
2,6,Selective private,6800,40000,0.5525023227880880,0.0073691965,0.062638171,0.1348563,0.25350037,0.22918202,0.19233604,0.17317612,0.15180545,0.13780399,0.41709656,33700,38700,1357,486852,0.0027872948
2,7,Nonselective four-year public,6900,28800,0.4731858720718620,0.001726122,0.021288838,0.048331413,0.12888376,0.21116225,0.2347526,0.24165708,0.18354431,0.16283084,0.34867665,24900,29900,1738,257854,0.0067402483
2,8,Nonselective four-year private not-for-profit,6900,27500,0.4469279025044580,0.0033222591,0.026578072,0.066445179,0.1295681,0.17940199,0.20598006,0.26245847,0.22259136,0.19601329,0.37873754,19900,27100,301,55947,0.0053800917
2,9,Two-year (public and private not-for-profit),6900,26100,0.4446093218088230,0.00099823391,0.016969977,0.045765184,0.11241649,0.17822315,0.24187975,0.26407126,0.20340936,0.18505721,0.3281886,20700,26900,13023,2021451,0.006442402
2,10,Four-year for-profit,6800,26600,0.4519905091767440,0.0024174054,0.01853344,0.049153909,0.11442385,0.17969379,0.24093473,0.28767124,0.17727639,0.15471394,0.25705075,20800,26800,1241,126025,0.0098472526
2,11,Two-year for-profit,6900,27000,0.4546315061019240,0.0026809652,0.010723861,0.04825737,0.12600537,0.16085792,0.27613941,0.23324397,0.20375335,0.17158177,0.30563003,23300,27800,373,42313,0.0088152578
2,12,Less than two-year schools of any type,6900,18100,0.366272875682551,0,0,0.019417476,0.058252428,0.067961164,0.27184466,0.36893204,0.23300971,0.2038835,0.33980584,14500,18900,103,10121,0.01017686
2,13,Attending college with insufficient data,6900,23700,0.4233550702610740,0.0016575159,0.013674505,0.031596396,0.086087227,0.14959081,0.26199108,0.30477571,0.19755515,0.17372838,0.28177768,18500,23500,9653,942344,0.010243605
2,14.1,Late attender (ages 23-28),6900,17100,0.3536947442895180,0.00067957869,0.0057764184,0.01563031,0.042643562,0.098255746,0.21299128,0.39092761,0.25518179,0.22494054,0.22409107,13100,16900,17658,1239448,0.014246665
2,14.2,Never attended college (before year 2013),6900,12900,0.2826667738753650,0.00053523312,0.004540253,0.011645934,0.031652577,0.072034992,0.15006828,0.29105607,0.45518807,0.42628548,0.17981987,3600,16400,54182,2866578,0.018901283
3,1,Ivy Plus,8400,113600,0.7195289301646260,0.14772728,0.36363637,0.47727275,0.625,0.079545453,0.079545453,0.045454547,0.17045455,0.15909091,0.5,79000,93600,88,52724,0.0016690692
3,2,Other elite schools (public and private),8600,69400,0.6907593347139480,0.056547619,0.21726191,0.33035713,0.49404761,0.18452381,0.11011904,0.11904762,0.092261903,0.083333336,0.46428573,56600,60700,336,183973,0.001826355
3,3,Highly selective public,8600,63800,0.6576594785148160,0.030405406,0.14977477,0.27027029,0.4436937,0.19707207,0.1418919,0.11036036,0.10698199,0.10022523,0.46621624,48100,54800,888,393548,0.0022563958
3,4,Highly selective private,8600,58100,0.6221092662988870,0.022421524,0.11659193,0.23766816,0.39910313,0.19282511,0.16143498,0.089686096,0.15695068,0.14798206,0.41704035,46200,54800,223,134098,0.001662963
3,5,Selective public,8600,39900,0.5506430044320300,0.0072684982,0.04709987,0.1069923,0.22590493,0.24625672,0.21572903,0.17662451,0.13548481,0.12240151,0.40296555,33300,37700,6879,1944082,0.0035384309
3,6,Selective private,8600,39700,0.5561604764630370,0.0075914427,0.052449968,0.12284335,0.23809524,0.25327811,0.18978606,0.17598343,0.14285715,0.13457556,0.4299517,34400,40000,1449,486852,0.0029762639
3,7,Nonselective four-year public,8600,29900,0.4801244565291250,0.0026795284,0.028938906,0.065916397,0.14576635,0.20900321,0.22936763,0.24115756,0.17470525,0.15809217,0.3756699,24200,30100,1866,257854,0.0072366535
3,8,Nonselective four-year private not-for-profit,8600,30500,0.4800802006053400,0.0076335878,0.034351144,0.080152668,0.16412213,0.17557251,0.23664121,0.26335877,0.16030535,0.13740458,0.36641222,23500,29000,262,55947,0.0046830038
3,9,Two-year (public and private not-for-profit),8500,26800,0.4509413886954420,0.0019983717,0.019169565,0.046184592,0.11849605,0.18525647,0.23973058,0.25912219,0.19739471,0.18066761,0.32788098,21300,27300,13511,2021451,0.0066838129
3,10,Four-year for-profit,8500,27300,0.4578321105305960,0.001607717,0.018488746,0.053054664,0.1181672,0.1977492,0.23311897,0.26768488,0.18327974,0.15996784,0.26045015,21600,27300,1244,126025,0.0098710572
3,11,Two-year for-profit,8500,27200,0.4540477074584720,0,0.024336282,0.059734512,0.13495576,0.17035398,0.23230088,0.26106194,0.20132743,0.19026549,0.28761062,21600,28200,452,42313,0.010682296
3,12,Less than two-year schools of any type,8500,20400,0.3907962036255150,0,0.010204081,0.010204081,0.06122449,0.1632653,0.23469387,0.30612245,0.23469388,0.22448979,0.20408164,15500,23100,98,10121,0.0096828379
3,13,Attending college with insufficient data,8600,24200,0.4268358439864580,0.0017348708,0.013878968,0.03408511,0.087968156,0.15971018,0.25594449,0.30176547,0.1946117,0.1736912,0.2824778,18700,23800,9799,942344,0.010398538
3,14.1,Late attender (ages 23-28),8600,17000,0.3530366314905510,0.00052521011,0.005252101,0.014822596,0.041783378,0.098272637,0.21411064,0.38468722,0.26114613,0.22764939,0.22753268,12900,17100,17136,1239448,0.01382551
3,14.2,Never attended college (before year 2013),8600,12800,0.2864561400356130,0.00043117994,0.0045742565,0.012073038,0.034100708,0.07335683,0.15325634,0.29211503,0.44717109,0.41865698,0.1842263,4300,16600,53342,2866578,0.01860825
4,1,Ivy Plus,10000,80900,0.713004313875532,0.091836736,0.29591838,0.44897959,0.59183675,0.14285715,0.05102041,0.06122449,0.15306123,0.14285715,0.46938777,70700,78500,98,52724,0.001858736
4,2,Other elite schools (public and private),9900,69900,0.6773047321664840,0.057591625,0.22513089,0.35078534,0.48952881,0.19109948,0.089005239,0.10994764,0.12041885,0.10994764,0.45026177,54400,61900,382,183973,0.0020763916
4,3,Highly selective public,10000,54100,0.648253117296357,0.012716764,0.13641618,0.24624278,0.39768785,0.23352602,0.14219654,0.11907514,0.10751445,0.098265901,0.43005779,47700,51600,865,393548,0.0021979529
4,4,Highly selective private,10000,65900,0.6672489979887480,0.041493777,0.15352698,0.31535271,0.46473029,0.20746888,0.095435686,0.099585064,0.13278008,0.11618257,0.46887967,53000,62000,241,134098,0.0017971931
4,5,Selective public,10000,41200,0.5561635967981710,0.0083114002,0.051115111,0.10957196,0.23826015,0.24671006,0.20944728,0.17204599,0.1335365,0.12120792,0.40227178,34000,38300,7219,1944082,0.0037133207
4,6,Selective private,9900,41500,0.5660969452755770,0.0067114094,0.066442952,0.13892618,0.2738255,0.22147651,0.19798657,0.16442953,0.14228188,0.13154362,0.45302013,35100,40200,1490,486852,0.0030604783
4,7,Nonselective four-year public,9900,29300,0.4801101963109110,0,0.021414343,0.062749006,0.13944224,0.19671315,0.26643425,0.22908366,0.16832669,0.15388446,0.35159361,24900,30200,2008,257854,0.0077873524
4,8,Nonselective four-year private not-for-profit,10000,28200,0.453802402069917,0.0071684592,0.028673837,0.053763442,0.13620073,0.17562725,0.20788531,0.29390681,0.18637992,0.16845879,0.33691758,19100,26000,279,55947,0.0049868627
4,9,Two-year (public and private not-for-profit),9900,27200,0.4578832145907750,0.001834593,0.016804872,0.044837452,0.12145006,0.19578777,0.24187276,0.24899097,0.19189844,0.17421296,0.33712482,22500,28400,13627,2021451,0.0067411973
4,10,Four-year for-profit,9900,26500,0.4578268921827770,0.0016764459,0.015926236,0.041072924,0.10058676,0.1969824,0.27326068,0.25649622,0.17267393,0.15255658,0.27577534,22700,27300,1193,126025,0.0094663762
4,11,Two-year for-profit,10000,29400,0.4782812308832060,0.0024691357,0.027160496,0.046913579,0.14320987,0.2,0.23703703,0.24691358,0.17283951,0.15061729,0.27901235,23300,28800,405,42313,0.0095715262
4,12,Less than two-year schools of any type,10100,19800,0.3783453531195820,0,0,0.016129032,0.064516135,0.13709678,0.23387097,0.29032257,0.27419356,0.26612905,0.27419356,13000,24200,124,10121,0.012251753
4,13,Attending college with insufficient data,10000,24900,0.4345301372134880,0.0019721922,0.015284489,0.037175819,0.092495807,0.1663544,0.25451139,0.29947737,0.18716103,0.1673405,0.28626367,19400,24400,10141,942344,0.010761463
4,14.1,Late attender (ages 23-28),10000,17800,0.3620385594786140,0.00029232926,0.0054373248,0.015493452,0.045486435,0.10383536,0.22521047,0.37973574,0.24573199,0.21544668,0.23485734,13500,17500,17104,1239448,0.013799692
4,14.2,Never attended college (before year 2013),10000,13100,0.2899891096110340,0.00049620215,0.0049047675,0.013111187,0.035974655,0.076739572,0.15510134,0.2882171,0.44396731,0.41633269,0.19288903,4600,16900,52398,2866578,0.018278938
5,1,Ivy Plus,11200,87600,0.7370276653045100,0.0989011,0.31868133,0.45054945,0.63736266,0.0989011,0.0989011,0.032967035,0.13186814,0.13186814,0.49450552,69300,79300,91,52724,0.0017259693
5,2,Other elite schools (public and private),11300,75500,0.6536519437580170,0.059347183,0.20474777,0.35014838,0.49851632,0.12462908,0.097922847,0.15727003,0.12166172,0.11275964,0.39465874,55600,64200,337,183973,0.0018317905
5,3,Highly selective public,11200,54300,0.6265636636047780,0.029504742,0.11591148,0.23603794,0.37091675,0.22128557,0.15911485,0.13066386,0.11801896,0.11064278,0.46048471,43400,47800,949,393548,0.0024113958
5,4,Highly selective private,11300,59900,0.6542801238560570,0.026666665,0.17777778,0.25777778,0.44888887,0.17333333,0.13777778,0.12,0.12,0.11111111,0.47555557,49200,57400,225,134098,0.0016778774
5,5,Selective public,11200,38600,0.5452040106884600,0.0057244105,0.049611557,0.10862751,0.22815865,0.23361047,0.21780019,0.18059152,0.13983917,0.12675481,0.41597384,32200,36800,7337,1944082,0.0037740178
5,6,Selective private,11200,42600,0.5774427070990600,0.0097719869,0.066449508,0.13941368,0.27947882,0.24820846,0.18566775,0.14071661,0.14592834,0.12833877,0.44885993,37100,42000,1535,486852,0.003152909
5,7,Nonselective four-year public,11200,28800,0.4758563877556770,0.0023946359,0.019636014,0.053639848,0.12739463,0.20689656,0.25191572,0.24808429,0.16570881,0.15469348,0.35296935,24800,29500,2088,257854,0.0080976058
5,8,Nonselective four-year private not-for-profit,11200,28300,0.4672747074272820,0,0.01754386,0.056140352,0.13333333,0.20701754,0.2385965,0.22456141,0.19649123,0.17894737,0.36491227,23200,28500,285,55947,0.0050941068
5,9,Two-year (public and private not-for-profit),11200,26900,0.4551516449456970,0.0014567703,0.016024474,0.043120403,0.11559472,0.19396897,0.24328065,0.25711995,0.19003569,0.17211741,0.33920899,22100,27900,13729,2021451,0.0067916559
5,10,Four-year for-profit,11100,25500,0.4464783348500850,0,0.017215569,0.036676645,0.091317363,0.19760479,0.25,0.2769461,0.18413174,0.16841318,0.24700598,21100,27000,1336,126025,0.010601072
5,11,Two-year for-profit,11100,28400,0.4657589811030860,0.0023474179,0.018779343,0.049295776,0.12910798,0.20187794,0.23943661,0.24647887,0.18309858,0.17605634,0.24178404,24000,29600,426,42313,0.010067828
5,12,Less than two-year schools of any type,11200,20100,0.3845223081895510,0,0,0.028037384,0.056074768,0.12149533,0.28037384,0.25233644,0.28971961,0.27102804,0.26168224,16500,25000,107,10121,0.010572078
5,13,Attending college with insufficient data,11300,25300,0.4373480036611300,0.0029790504,0.014318663,0.037958872,0.10032673,0.16192581,0.25600615,0.29867384,0.18306746,0.16375169,0.29482991,19600,24400,10406,942344,0.011042677
5,14.1,Late attender (ages 23-28),11200,17700,0.3621622657769010,0.00035404495,0.0053696819,0.01599103,0.043724552,0.10574143,0.22493656,0.37782499,0.24777247,0.21602644,0.23726913,13600,17700,16947,1239448,0.013673022
5,14.2,Never attended college (before year 2013),11200,13500,0.2942539765120700,0.0005794302,0.0051376144,0.01361661,0.036677934,0.079671659,0.16166103,0.28463545,0.43735394,0.41056493,0.19658136,5300,17400,51775,2866578,0.018061604
6,1,Ivy Plus,12300,105300,0.7232191802266720,0.078651682,0.30337077,0.43820223,0.60674155,0.10112359,0.11235955,0.056179777,0.12359551,0.11235955,0.50561798,71400,79700,89,52724,0.0016880358
6,2,Other elite schools (public and private),12300,68200,0.6785339350894650,0.049723756,0.20718232,0.31215468,0.51381218,0.1519337,0.12707183,0.091160223,0.1160221,0.10497238,0.43922651,55100,62000,362,183973,0.0019676799
6,3,Highly selective public,12300,57100,0.6571153079098540,0.027542373,0.14512712,0.24258474,0.41419491,0.23411018,0.13559322,0.1154661,0.1006356,0.097457632,0.46927968,49000,52400,944,393548,0.0023986909
6,4,Highly selective private,12300,60500,0.6752213249878900,0.028340081,0.16194332,0.2631579,0.45748988,0.23076923,0.10931174,0.08906883,0.11336032,0.10526316,0.45344129,52400,58500,247,134098,0.0018419365
6,5,Selective public,12300,39700,0.5501933262868800,0.0081783403,0.048410498,0.10328452,0.2222662,0.25194564,0.21263686,0.17359187,0.13955942,0.12544519,0.41986546,33300,37500,7581,1944082,0.0038995268
6,6,Selective private,12300,42000,0.5673587845411990,0.0085190041,0.064875491,0.12909567,0.2778506,0.2300131,0.18414155,0.16710354,0.14089122,0.12778506,0.41874182,36000,41200,1526,486852,0.0031344227
6,7,Nonselective four-year public,12300,30700,0.4921825789777400,0.0031404216,0.021085689,0.056527592,0.14131898,0.22386721,0.25392553,0.22431584,0.15657245,0.14221625,0.35397038,26300,31200,2229,257854,0.0086444262
6,8,Nonselective four-year private not-for-profit,12300,28600,0.4738480936127660,0,0.020080321,0.064257026,0.14859438,0.20481928,0.19277108,0.27710843,0.17670684,0.15662651,0.39759037,23500,30600,249,55947,0.0044506406
6,9,Two-year (public and private not-for-profit),12300,26900,0.4557157106970150,0.001559178,0.017434444,0.044153083,0.1167966,0.19305457,0.24528703,0.25577605,0.18908575,0.17051737,0.34535789,22000,28000,14110,2021451,0.0069801346
6,10,Four-year for-profit,12200,27100,0.4627175296314600,0.000746826,0.016430171,0.041075431,0.11874533,0.1837192,0.25840178,0.26885736,0.17027633,0.15235251,0.25466767,22500,27300,1339,126025,0.010624876
6,11,Two-year for-profit,12300,30800,0.4926222722638210,0.0071428572,0.023809524,0.061904762,0.13333333,0.21666667,0.26428571,0.24285714,0.14285715,0.12142857,0.26428571,25300,29200,420,42313,0.0099260276
6,12,Less than two-year schools of any type,12300,25500,0.446160827589637,0,0.01010101,0.02020202,0.12121212,0.17171717,0.25252527,0.27272728,0.18181819,0.15151516,0.24242425,21400,25200,99,10121,0.0097816419
6,13,Attending college with insufficient data,12400,24800,0.4345007148246680,0.0015647922,0.013300734,0.034816626,0.090268947,0.16264059,0.26180929,0.30396089,0.18132029,0.16391198,0.3040587,19500,24400,10225,942344,0.010850603
6,14.1,Late attender (ages 23-28),12300,18100,0.3659265562829210,0.00077802385,0.0062241904,0.015201389,0.04584356,0.10922258,0.22802083,0.37710217,0.23981088,0.20874977,0.24735172,13800,17900,16709,1239448,0.013481001
6,14.2,Never attended college (before year 2013),12300,13600,0.2968704635607460,0.00056370883,0.0051705707,0.013218,0.035766352,0.081815533,0.16559432,0.28902712,0.42779669,0.40248808,0.20215763,5800,17400,51445,2866578,0.017946485
7,1,Ivy Plus,13300,81400,0.6647666544565150,0.079545453,0.27272728,0.375,0.52272731,0.125,0.045454547,0.13636364,0.17045455,0.15909091,0.47727275,60000,73000,88,52724,0.0016690692
7,2,Other elite schools (public and private),13400,77200,0.7003767039708490,0.058495823,0.2172702,0.35376045,0.52924794,0.16713092,0.097493038,0.094707519,0.11142061,0.10584959,0.45961004,58300,66300,359,183973,0.0019513733
7,3,Highly selective public,13400,55700,0.6361364813119400,0.023379384,0.141339,0.23804463,0.41339001,0.19553667,0.1466525,0.12327311,0.12114772,0.10626993,0.47396386,46700,52700,941,393548,0.002391068
7,4,Highly selective private,13300,62500,0.684099741642498,0.034482758,0.1724138,0.30689654,0.47241381,0.21724138,0.10689655,0.10344828,0.1,0.093103454,0.46206897,53000,58300,290,134098,0.0021625976
7,5,Selective public,13300,39500,0.5600139392278550,0.0072793448,0.049135577,0.11360978,0.23644872,0.25100741,0.21461068,0.16950475,0.12842844,0.1167295,0.42974132,34300,38100,7693,1944082,0.0039571375
7,6,Selective private,13400,41700,0.5747467219384690,0.0088663707,0.063331224,0.13299556,0.26155794,0.25015834,0.20519316,0.15832806,0.12476251,0.11526282,0.45915136,35800,40100,1579,486852,0.0032432855
7,7,Nonselective four-year public,13300,28900,0.4820177189714480,0.00087873463,0.019332161,0.044376098,0.11379614,0.22012302,0.27108964,0.24253076,0.15246046,0.13620387,0.35281196,25400,28900,2276,257854,0.0088267
7,8,Nonselective four-year private not-for-profit,13400,27400,0.4551663874253420,0,0.023489932,0.060402684,0.12080537,0.17449665,0.25503355,0.25838926,0.19127516,0.17449664,0.3657718,21700,26600,298,55947,0.0053264699
7,9,Two-year (public and private not-for-profit),13300,27700,0.46033426482383,0.0023708248,0.019942822,0.04929921,0.12565371,0.18778329,0.24579877,0.253748,0.18701625,0.17035075,0.35506588,22400,28200,14341,2021451,0.0070944089
7,10,Four-year for-profit,13300,26500,0.4518045313684220,0.001540832,0.017719569,0.047765791,0.10708783,0.17411403,0.27426809,0.25577813,0.18875192,0.16872111,0.27041602,21700,27100,1298,126025,0.010299544
7,11,Two-year for-profit,13300,26800,0.4588430835435630,0,0.016166281,0.034642033,0.1108545,0.2078522,0.25173211,0.23556581,0.19399539,0.17321017,0.31177828,23300,29200,433,42313,0.010233262
7,12,Less than two-year schools of any type,13300,17400,0.3570130491225230,0,0,0,0.022727273,0.13636364,0.30681819,0.26136363,0.27272728,0.27272728,0.35227272,12000,22500,88,10121,0.0086947931
7,13,Attending college with insufficient data,13400,25200,0.4372764037472950,0.0017938067,0.013311934,0.036442596,0.092239425,0.168429,0.25774169,0.29767749,0.18391238,0.16578551,0.30192599,19900,25100,10592,942344,0.011240057
7,14.1,Late attender (ages 23-28),13400,18500,0.370677403030792,0.00077975047,0.0062380037,0.015774952,0.047804702,0.11558301,0.2296665,0.37122121,0.23572457,0.20573416,0.25131959,14000,18300,16672,1239448,0.013451149
7,14.2,Never attended college (before year 2013),13400,14000,0.3005591284091960,0.00077035517,0.0053924862,0.014399716,0.037964683,0.083613165,0.16930036,0.28339192,0.42572987,0.399281,0.20544779,6200,17900,50626,2866578,0.017660778
8,1,Ivy Plus,14300,90500,0.7250687949644500,0.10309278,0.35051546,0.48453608,0.60824746,0.11340206,0.092783503,0.041237112,0.14432991,0.14432991,0.48453608,75400,88200,97,52724,0.0018397694
8,2,Other elite schools (public and private),14400,73400,0.6886027563371520,0.080310881,0.20984456,0.3341969,0.49740934,0.19948186,0.098445594,0.10103627,0.10362694,0.095854923,0.48186529,54800,59700,386,183973,0.002098134
8,3,Highly selective public,14300,58000,0.646842878774008,0.036036037,0.13713714,0.24024025,0.4044044,0.23823823,0.12512513,0.11711711,0.11511511,0.10910911,0.46246246,46800,52500,999,393548,0.0025384452
8,4,Highly selective private,14300,53600,0.6355175100484720,0.021459227,0.13304721,0.21459226,0.39914164,0.22746781,0.13304721,0.098712444,0.1416309,0.12017167,0.48927039,48400,52800,233,134098,0.0017375352
8,5,Selective public,14300,40900,0.5552010985190730,0.0056352457,0.050589141,0.11065574,0.23219775,0.24436475,0.21862192,0.17405225,0.13076332,0.11936475,0.4258453,33500,37900,7808,1944082,0.0040162914
8,6,Selective private,14300,40400,0.5607364000249720,0.011508177,0.059357967,0.12113871,0.26105389,0.2247123,0.2053301,0.16777711,0.14112659,0.12658994,0.45851001,34300,39500,1651,486852,0.0033911744
8,7,Nonselective four-year public,14300,29500,0.4792283849581030,0.003684938,0.02303086,0.0561953,0.13542147,0.21418701,0.23583601,0.24596959,0.16858591,0.15384616,0.36665133,24700,30000,2171,257854,0.0084194932
8,8,Nonselective four-year private not-for-profit,14300,29800,0.4846781604321960,0.0037037036,0.014814815,0.048148148,0.14814815,0.2,0.26296297,0.22592592,0.16296296,0.15185185,0.33703706,25500,29800,270,55947,0.0048259962
